ID,study category (as extracted),SC: # of Relationships,SC: Primary Relationship Type,SC: Labels,SC: # of Labels
S66,identifier length and familiarity --> code comprehension,1,impact on comprehension,"identifier naming, code familiarity",2
S67,internal procedures and comments --> code comprehension,1,impact on comprehension,"procedure usage, comments",2
S68,experience level --> code comprehension,1,impact on comprehension,experience,1
S69,"structural, logical complexity, and density code factors --> (test) code comprehension; EvoSuite improvements (their tool) --> (test) code comprehension",2,impact on comprehension,"test code, proposed tool, indentation, code size, identifier naming, smells & antipatterns, comments, control structures, code metrics, object-oriented programming",10
S70,syntax highlightling (colored vs. black & white) --> code comprehension,1,impact on comprehension,syntax highlighting,1
S71,syntax highlightling (two different color schemes plus black & white) --> code comprehension,1,impact on comprehension,syntax highlighting,1
S72,code line being beacon (typical indicator) --> code comprehension,1,impact on comprehension,beacons,1
S73,mnemonic variable names --> code comprehension (exp. 1),1,impact on comprehension,identifier naming,1
S74,program being plan-like (stereotypic sequences) --> code comprehension (s1); program being plan-like and follow discourse rules --> code comprehension (s2),2,impact on comprehension,mental models,1
S75,structural and textual readability features --> code comprehension,1,impact on comprehension,"code formatting, identifier naming",2
S76,variable and procedure naming x expertise --> code comprehension,1,impact on comprehension,"identifier naming, experience",2
S77,BLOOM and SOLO taxonomy levels <--> code comprehension,1,correlation with comprehension,experience,1
S78,cognitive weight to control structures <--> code comprehension,1,correlation with comprehension,control structures,1
S79,recursive vs. iterative code constructs --> code comprehension,1,impact on comprehension,recursion,1
S80,auditory cues --> code comprehension (exp 2),1,impact on comprehension,auditory cues,1
S81,flowcharts vs. pseudocode --> code comprehension,1,impact on comprehension,diagrams,1
S82,"""refactor to understand"" pattern --> code comprehension; degree of coupling --> code comprehension",2,impact on comprehension,"refactoring, code metrics",2
S83,printed source code appearance (typography...) --> code comprehension,1,impact on comprehension,visual code presentation,1
S84,"brain activation areas <--> code comprehension (RQ2); beacons (identifiers, layout) --> code comprehension (RQ3)",2,correlation with comprehension,"fMRI, beacons",2
S85,expertise --> code comprehension; code line content (beacons) --> code comprehension,2,impact on comprehension,"experience, beacons",2
S86,time series changes of EEG and eye movement <--> code comprehension,1,correlation with comprehension,"EEG, eye tracking",2
S87,programming language (python vs. c++) --> code comprehension; novices vs. non-novices --> code comprehension,2,impact on comprehension,"programming language, experience",2
S88,eye tracking metrics <--> code comprehension,1,correlation with comprehension,eye tracking,1
S89,visual code presentation (highlighting vs. enhanced presentations) --> code comprehension,1,impact on comprehension,visual code presentation,1
S90,"code notations (procedural x cues, declarative x cues) --> code comprehension",1,impact on comprehension,mental models,1
S91,object-oriented vs. procedural --> code comprehension,1,impact on comprehension,"object-oriented programming, imperative programming",2
S92,class structure (availability) --> code comprehension,1,impact on comprehension,object-oriented programming,1
S93,"naming styles, documentation --> code comprehension",1,impact on comprehension,"identifier naming, comments",2
S94,dyslexia --> code comprehension,1,impact on comprehension,dyslexia,1
S95,visual strategy used to comprehend code <--> code comprehension,1,correlation with comprehension,eye tracking,1
